mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,estado_con,tipo_veh,color_veh,modelo_veh,tipo_eve,year
Enero,Domingo,15,El Progreso,99,Ignorado,999,Ignorado,Camion,Blanco,9999,Vuelco,2010
Noviembre,Lunes,22,Quetzaltenango,99,Hombre,37,No Ebrio,Camion,Amarillo,9999,Vuelco,2010
Diciembre,Lunes,7,Huehuetenango,99,Hombre,55,No Ebrio,Camion,Ignorado,9999,Caida,2010
Agosto,Domingo,17,Alta Verapaz,99,Hombre,35,No Ebrio,Pick-up,Azul,9999,Colision,2010
Enero,Sabado,20,El Progreso,99,Hombre,24,Ignorado,Motocicleta,Gris,9999,Colision,2010
Abril,Viernes,2,Guatemala,18,Hombre,22,Ebrio,Automovil,Gris,1994,Vuelco,2010
Diciembre,Jueves,7,Solola,99,Ignorado,999,Ignorado,Camion,Blanco,9999,Colision,2010
Julio,Sabado,8,Chiquimula,99,Hombre,24,No Ebrio,Camion,Ignorado,9999,Colision,2010
Septiembre,Miercoles,8,Quetzaltenango,99,Hombre,50,No Ebrio,Microbus,Azul,9999,Choque,2010
Septiembre,Sabado,13,Guatemala,99,Hombre,36,No Ebrio,Camioneta,Verde,1996,Choque,2010
Enero,Martes,23,Peten,99,Hombre,35,Ignorado,Camioneta,Gris,9999,Colision,2010
Enero,Sabado,13,Escuintla,99,Hombre,35,Ignorado,Pick-up,Corinto,9999,Colision,2010
Diciembre,Sabado,1,Guatemala,12,Hombre,30,Ignorado,Automovil,Celeste,9999,Choque,2010
Septiembre,Miercoles,3,Suchitepequez,99,Hombre,24,Ignorado,Automovil,Negro,9999,Choque,2010
Agosto,Domingo,3,Guatemala,18,Ignorado,999,Ignorado,Automovil,Ignorado,9999,Choque,2010
Diciembre,Sabado,3,Guatemala,99,Hombre,999,No Ebrio,Motocicleta,Negro,9999,Choque,2010
Diciembre,Sabado,4,Guatemala,7,Hombre,24,Ignorado,Camioneta,Corinto,1993,Choque,2010
Noviembre,Lunes,7,Guatemala,99,Hombre,30,Ignorado,Cabezal,Ignorado,9999,Vuelco,2010
Febrero,Viernes,8,Izabal,99,Hombre,25,Ignorado,Automovil,Negro,1997,Colision,2010
Diciembre,Jueves,8,Escuintla,99,Hombre,60,Ignorado,Motocicleta,Rojo,2007,Colision,2010
Octubre,Lunes,8,Escuintla,99,Hombre,41,No Ebrio,Pick-up,Blanco,2009,Colision,2010
Junio,Miercoles,8,Guatemala,3,Hombre,27,No Ebrio,Bus extraurbano,Amarillo,9999,Choque,2010
Septiembre,Lunes,8,Escuintla,99,Hombre,23,Ignorado,Motocicleta,Negro,2009,Colision,2010
Diciembre,Martes,10,Guatemala,99,Ignorado,999,Ignorado,Bus extraurbano,Verde,1990,Vuelco,2010
Marzo,Domingo,12,Peten,99,Hombre,52,No Ebrio,Camion,Blanco,1996,Colision,2010
Abril,Miercoles,15,Escuintla,99,Hombre,63,No Ebrio,Pick-up,Verde,9999,Colision,2010
Septiembre,Martes,15,Guatemala,12,Hombre,33,No Ebrio,Camion,Blanco,9999,Choque,2010
Noviembre,Lunes,15,Guatemala,99,Hombre,999,No Ebrio,Cabezal,Blanco,9999,Vuelco,2010
Diciembre,Domingo,16,San Marcos,99,Hombre,999,Ignorado,Microbus,Verde,9999,Vuelco,2010
Septiembre,Lunes,17,Jutiapa,99,Hombre,26,No Ebrio,Pick-up,Negro,9999,Colision,2010
Julio,Lunes,18,Chimaltenango,99,Hombre,31,No Ebrio,Automovil,Negro,1997,Colision,2010
Mayo,Viernes,18,Totonicapan,99,Hombre,35,No Ebrio,Automovil,Rojo,9999,Colision,2010
Noviembre,Viernes,18,Escuintla,99,Hombre,40,Ignorado,Pick-up,Beige,9999,Caida,2010
Febrero,Martes,19,Guatemala,8,Hombre,45,Ignorado,Automovil,Negro,9999,Caida,2010
Marzo,Jueves,19,Guatemala,99,Hombre,43,Ignorado,Motocicleta,Rojo,9999,Choque,2010
Mayo,Lunes,19,Guatemala,99,Mujer,27,No Ebrio,Pick-up,Corinto,1995,Vuelco,2010
Julio,Viernes,20,Escuintla,99,Hombre,23,No Ebrio,Motocicleta,Rojo,9999,Colision,2010
Abril,Jueves,20,Escuintla,99,Hombre,43,No Ebrio,Camioneta,Ignorado,9999,Caida,2010
