dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,zona_ocu,sexo_pil,edad_pil,mayor_menor,estado_pil,tipo_vehi,marca_vehi,causa_acc,year
27,Junio,Lunes,17,Guatemala,10,Hombre,42,Mayor,Normal,Automovil,Audi,Colisión,2011
18,Septiembre,Domingo,0,Guatemala,7,Hombre,25,Mayor,Ebrio,Automovil,Audi,Empotro,2011
5,Octubre,Miercoles,19,Quetzaltenango,Ignorado,Hombre,26,Mayor,Ebrio,Automovil,Audi,Colisión,2011
15,Febrero,Martes,12,Izabal,Ignorado,Hombre,59,Mayor,Ignorado,Camioneta,Land rover,Colisión,2011
17,Junio,Viernes,18,Guatemala,11,Mujer,25,Mayor,Normal,Camioneta,Land rover,Colisión,2011
10,Agosto,Miercoles,22,Guatemala,11,Hombre,24,Mayor,Normal,Motocicleta,Land rover,Empotro,2011
3,Septiembre,Sabado,7,Guatemala,8,Mujer,35,Mayor,Ignorado,Motocicleta,Land rover,Empotro,2011
18,Octubre,Martes,14,Guatemala,17,Hombre,22,Mayor,Ignorado,Motocicleta,Land rover,Colisión,2011
20,Octubre,Jueves,21,Guatemala,12,Hombre,26,Mayor,Normal,Motocicleta,Land rover,Colisión,2011
26,Noviembre,Sabado,0,Guatemala,10,Hombre,19,Mayor,Normal,Motocicleta,Land rover,Volco,2011
28,Diciembre,Miercoles,1,Alta Verpaz,1,Hombre,24,Mayor,Ebrio,Jeep,Land rover,Empotro,2011
31,Enero,Lunes,21,Totonicapan,Ignorado,Hombre,39,Mayor,Ignorado,Pick up,Dodge,Colisión,2011
31,Enero,Lunes,22,Quiche,1,Hombre,29,Mayor,Ebrio,Microbus,Dodge,Empotro,2011
10,Febrero,Jueves,5,Guatemala,10,Hombre,Ignorado,Mayor,Ignorado,Pick up,Dodge,Colisión,2011
22,Abril,Viernes,0,El Progreso,Ignorado,Hombre,29,Mayor,Ebrio,Camioneta,Dodge,Colisión,2011
27,Mayo,Viernes,19,Izabal,Ignorado,Hombre,31,Mayor,Ignorado,Microbus,Dodge,Colisión,2011
24,Julio,Domingo,23,Guatemala,1,Mujer,20,Mayor,Ignorado,Microbus,Dodge,Colisión,2011
7,Agosto,Domingo,12,Quetzaltenango,1,Hombre,Ignorado,Mayor,Normal,Pick up,Dodge,Colisión,2011
20,Agosto,Sabado,5,Guatemala,14,Hombre,53,Mayor,Ignorado,Pick up,Dodge,Colisión,2011
27,Agosto,Sabado,18,Guatemala,5,Mujer,26,Mayor,Normal,Pick up,Dodge,Colisión,2011
22,Septiembre,Jueves,16,Suchitepequez,Ignorado,Hombre,49,Mayor,Normal,Pick up,Dodge,Empotro,2011
4,Octubre,Martes,10,Guatemala,10,Hombre,48,Mayor,Ebrio,Microbus,Dodge,Colisión,2011
4,Noviembre,Viernes,21,Guatemala,12,Hombre,36,Mayor,Ignorado,Microbus,Dodge,Empotro,2011
6,Diciembre,Martes,5,Baja Verapaz,Ignorado,Hombre,Ignorado,Mayor,Normal,Pick up,Dodge,Volco,2011
20,Diciembre,Martes,21,Guatemala,6,Hombre,50,Mayor,Ebrio,Automovil,Dodge,Colisión,2011
23,Diciembre,Viernes,16,Chiquimula,Ignorado,Hombre,20,Mayor,Normal,Pick up,Dodge,Colisión,2011
10,Enero,Lunes,12,Suchitepequez,1,Hombre,33,Mayor,Ignorado,Automovil,Fiat,Colisión,2011
25,Marzo,Viernes,14,Guatemala,1,Hombre,36,Mayor,Ignorado,Camioneta,Fiat,Colisión,2011
4,Mayo,Miercoles,9,Guatemala,Ignorado,Hombre,34,Mayor,Ignorado,Pick up,Fiat,Colisión,2011
6,Julio,Miercoles,21,Guatemala,6,Ignorado,Ignorado,Ignorado,Ignorado,Automovil,Fiat,Colisión,2011
2,Enero,Domingo,20,Jutiapa,Ignorado,Mujer,48,Mayor,Normal,Camioneta,Ford,Colisión,2011
4,Enero,Martes,10,El Progreso,Ignorado,Hombre,44,Mayor,Normal,Camioneta,Ford,Colisión,2011
7,Enero,Viernes,12,Guatemala,9,Hombre,37,Mayor,Ignorado,Bus urbano,Ford,Colisión,2011
16,Enero,Domingo,8,Santa Rosa,Ignorado,Hombre,43,Mayor,Ebrio,Pick up,Ford,Colisión,2011
19,Enero,Miercoles,19,Guatemala,14,Hombre,30,Mayor,Ebrio,Pick up,Ford,Colisión,2011
20,Enero,Jueves,12,Guatemala,Ignorado,Mujer,18,Mayor,Normal,Automovil,Ford,Colisión,2011
27,Enero,Jueves,21,Sacatepequez,Ignorado,Hombre,28,Mayor,Ignorado,Camión,Ford,Colisión,2011
31,Enero,Lunes,0,Guatemala,12,Hombre,69,Mayor,Ebrio,Pick up,Ford,Colisión,2011
5,Febrero,Sabado,9,Guatemala,Ignorado,Hombre,40,Mayor,Ebrio,Pick up,Ford,Colisión,2011
1,Marzo,Martes,11,Quiche,Ignorado,Hombre,47,Mayor,Ignorado,Camión,Ford,Colisión,2011
4,Marzo,Viernes,15,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Ford,Colisión,2011
13,Marzo,Domingo,14,Solola,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Ford,Volco,2011
15,Marzo,Martes,12,Jutiapa,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,Ford,Volco,2011
18,Marzo,Viernes,18,Escuintla,Ignorado,Hombre,25,Mayor,Normal,Pick up,Ford,Colisión,2011
31,Marzo,Jueves,22,Guatemala,16,Hombre,23,Mayor,Normal,Pick up,Ford,Colisión,2011
4,Abril,Lunes,6,Guatemala,Ignorado,Hombre,52,Mayor,Ignorado,Bus extraurbano,Ford,Colisión,2011
16,Abril,Sabado,20,Chiquimula,Ignorado,Hombre,29,Mayor,Ebrio,Pick up,Ford,Colisión,2011
21,Abril,Jueves,8,Quiche,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Camión,Ford,Volco,2011
23,Abril,Sabado,16,Izabal,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,Ford,Colisión,2011
27,Abril,Miercoles,20,Chiquimula,Ignorado,Hombre,25,Mayor,Normal,Pick up,Ford,Colisión,2011
28,Abril,Jueves,23,Suchitepequez,Ignorado,Hombre,33,Mayor,Normal,Camión,Ford,Empotro,2011
4,Mayo,Miercoles,13,Escuintla,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Ford,Empotro,2011
9,Mayo,Lunes,16,Guatemala,8,Hombre,45,Mayor,Normal,Camión,Ford,Colisión,2011
11,Mayo,Miercoles,19,Escuintla,Ignorado,Hombre,45,Mayor,Ignorado,Pick up,Ford,Empotro,2011
12,Mayo,Jueves,15,Guatemala,12,Hombre,40,Mayor,Normal,Bus extraurbano,Ford,Colisión,2011
15,Mayo,Domingo,11,Santa Rosa,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Bus urbano,Ford,Volco,2011
19,Mayo,Jueves,7,Guatemala,19,Hombre,21,Mayor,Ignorado,Automovil,Ford,Colisión,2011
21,Mayo,Sabado,13,Guatemala,Ignorado,Mujer,26,Mayor,Normal,Pick up,Ford,Empotro,2011
23,Mayo,Lunes,17,Peten,Ignorado,Hombre,32,Mayor,Normal,Pick up,Ford,Empotro,2011
28,Mayo,Sabado,0,Escuintla,Ignorado,Hombre,30,Mayor,Ignorado,Camioneta,Ford,Caida,2011
28,Mayo,Sabado,17,Solola,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Bus urbano,Ford,Volco,2011
9,Junio,Jueves,19,Huehuetenango,11,Hombre,28,Mayor,Ebrio,Pick up,Ford,Colisión,2011
10,Junio,Viernes,21,Guatemala,1,Hombre,39,Mayor,Normal,Automovil,Ford,Colisión,2011
20,Junio,Lunes,17,Quiche,Ignorado,Mujer,56,Mayor,Normal,Camioneta,Ford,Colisión,2011
26,Junio,Domingo,0,Guatemala,10,Hombre,18,Mayor,Normal,Automovil,Ford,Colisión,2011
10,Julio,Domingo,18,Guatemala,4,Hombre,46,Mayor,Ebrio,Pick up,Ford,Colisión,2011
15,Julio,Viernes,19,Zacapa,Ignorado,Hombre,34,Mayor,Normal,Camioneta,Ford,Caida,2011
19,Julio,Martes,22,Guatemala,3,Hombre,37,Mayor,Normal,Camioneta,Ford,Colisión,2011
19,Julio,Martes,14,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Ford,Volco,2011
22,Julio,Viernes,3,Guatemala,8,Hombre,58,Mayor,Ignorado,Camioneta,Ford,Colisión,2011
26,Julio,Martes,12,Guatemala,Ignorado,Ignorado,Ignorado,Mayor,Ignorado,Camión,Ford,Colisión,2011
26,Julio,Martes,17,Escuintla,Ignorado,Ignorado,Ignorado,Mayor,Ignorado,Bus extraurbano,Ford,Colisión,2011
29,Julio,Viernes,12,Escuintla,Ignorado,Hombre,37,Mayor,Normal,Automovil,Ford,Colisión,2011
3,Agosto,Miercoles,19,Baja Verapaz,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Camión,Ford,Colisión,2011
19,Agosto,Viernes,8,Suchitepequez,Ignorado,Hombre,29,Mayor,Normal,Bus extraurbano,Ford,Colisión,2011
19,Agosto,Viernes,13,Quetzaltenango,Ignorado,Hombre,25,Mayor,Normal,Automovil,Ford,Colisión,2011
27,Agosto,Sabado,16,Escuintla,Ignorado,Hombre,50,Mayor,Normal,Camioneta,Ford,Colisión,2011
6,Septiembre,Martes,15,Alta Verpaz,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Ford,Volco,2011
8,Septiembre,Jueves,23,Quetzaltenango,5,Hombre,55,Mayor,Ignorado,Pick up,Ford,Colisión,2011
15,Septiembre,Jueves,0,Guatemala,15,Ignorado,Ignorado,Ignorado,Ignorado,Camión,Ford,Colisión,2011
22,Septiembre,Jueves,23,Guatemala,Ignorado,Hombre,43,Mayor,Normal,Motocicleta,Ford,Empotro,2011
24,Septiembre,Sabado,0,Guatemala,8,Mujer,23,Mayor,Normal,Microbus,Ford,Empotro,2011
8,Octubre,Sabado,17,Guatemala,6,Hombre,40,Mayor,Normal,Bus extraurbano,Ford,Colisión,2011
5,Noviembre,Sabado,19,Escuintla,Ignorado,Hombre,50,Mayor,Normal,Pick up,Ford,Colisión,2011
9,Noviembre,Miercoles,21,Guatemala,12,Hombre,23,Mayor,Ignorado,Camión,Ford,Colisión,2011
9,Noviembre,Miercoles,7,Huehuetenango,Ignorado,Hombre,22,Mayor,Normal,Bus extraurbano,Ford,Colisión,2011
12,Noviembre,Sabado,23,Guatemala,8,Hombre,34,Mayor,Ebrio,Pick up,Ford,Colisión,2011
12,Noviembre,Sabado,19,Santa Rosa,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,Ford,Colisión,2011
20,Noviembre,Domingo,14,Quetzaltenango,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Ford,Volco,2011
27,Noviembre,Domingo,19,Chiquimula,9,Hombre,43,Mayor,Ebrio,Pick up,Ford,Colisión,2011
