dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,zona_ocu,sexo_pil,edad_pil,g_edad_pil,mayor_menor,estado_pil,tipo_vehi,modelo_vehi,causa_acc,year
1,Enero,Domingo,12,Guatemala,Urbano,3,Hombre,40,40-44,Mayor,Normal,Automovil,1999,Colisión,2012
1,Enero,Domingo,12,Guatemala,Urbano,3,Hombre,65,55 y más,Mayor,Normal,Automovil,1997,Colisión,2012
1,Enero,Domingo,17,Guatemala,Urbano,18,Hombre,44,40-44,Mayor,Ebrio,Automovil,Ignorado,Colisión,2012
1,Enero,Domingo,17,Guatemala,Urbano,18,Hombre,Ignorado,Ignorado,Mayor,Normal,Pick up,Ignorado,Colisión,2012
1,Enero,Domingo,10,Guatemala,Rural,Ignorado,Hombre,52,50-54,Mayor,Normal,Pick up,Ignorado,Choque,2012
1,Enero,Domingo,17,Guatemala,Urbano,11,Mujer,35,35-39,Mayor,Normal,Automovil,1997,Colisión,2012
1,Enero,Domingo,17,Guatemala,Urbano,11,Hombre,44,40-44,Mayor,Ebrio,Pick up,Ignorado,Colisión,2012
1,Enero,Domingo,17,Guatemala,Urbano,11,Hombre,Ignorado,Ignorado,Mayor,Normal,Pick up,Ignorado,Colisión,2012
1,Enero,Domingo,9,Guatemala,Urbano,6,Hombre,19,15-19,Mayor,Ebrio,Motocicleta,Ignorado,Colisión,2012
1,Enero,Domingo,9,Guatemala,Urbano,6,Hombre,28,25-29,Mayor,Normal,Motocicleta,Ignorado,Colisión,2012
1,Enero,Domingo,12,Guatemala,Rural,1,Hombre,40,40-44,Mayor,Ebrio,Bus urbano,1990,Vuelco,2012
1,Enero,Domingo,11,Guatemala,Rural,Ignorado,Hombre,43,40-44,Mayor,Normal,Motocicleta,2000,Choque,2012
1,Enero,Domingo,10,Jutiapa,Rural,Ignorado,Hombre,31,30-34,Mayor,Normal,Pick up,Ignorado,Choque,2012
1,Enero,Domingo,16,Jalapa,Rural,Ignorado,Hombre,42,40-44,Mayor,Ebrio,Pick up,1987,Colisión,2012
1,Enero,Domingo,16,Jalapa,Rural,Ignorado,Hombre,23,20-24,Mayor,Normal,Motocicleta,2005,Colisión,2012
1,Enero,Domingo,2,Chiquimula,Rural,Ignorado,Hombre,45,45-49,Mayor,Ebrio,Automovil,1978,Colisión,2012
1,Enero,Domingo,2,Chiquimula,Rural,Ignorado,Hombre,19,15-19,Mayor,Ebrio,Automovil,1995,Colisión,2012
