dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,zona_ocu,sexo_pil,edad_pil,mayor_menor,tipo_vehi,causa_acc,marca_vehi,estado_pil,year
1,Enero,Martes,3,Guatemala,6,Hombre,32,Mayor,Pick up,CHOQUE,Ignorado,EBRIO,2013
1,Enero,Martes,5,Guatemala,11,Hombre,34,Mayor,Automovil,CHOQUE,Chevrolet,EBRIO,2013
1,Enero,Martes,3,Guatemala,3,Hombre,28,Mayor,Automovil,COLISION,Hyundai,EBRIO,2013
1,Enero,Martes,3,Guatemala,3,Hombre,43,Mayor,Pick up,COLISION,Toyota,NORMAL,2013
1,Enero,Martes,0,Zacapa,Ignorado,Hombre,21,Mayor,Motocicleta,CHOQUE,Italika,NORMAL,2013
1,Enero,Martes,18,Zacapa,Ignorado,Hombre,19,Mayor,Pick up,VUELCO,Toyota,IGNORADO,2013
1,Enero,Martes,0,Escuintla,Ignorado,Hombre,24,Mayor,Motocicleta,CHOQUE,Bajaj,NORMAL,2013
1,Enero,Martes,11,Quetzaltenango,Ignorado,Hombre,36,Mayor,Camioneta,CHOQUE,Toyota,EBRIO,2013
1,Enero,Martes,1,San Marcos,Ignorado,Hombre,38,Mayor,Camión,COLISION,Mitsubishi,NORMAL,2013
1,Enero,Martes,1,San Marcos,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,COLISION,Sniper,EBRIO,2013
1,Enero,Martes,7,Huehuetenango,Ignorado,Ignorado,Ignorado,Mayor,Pick up,VUELCO,Toyota,NORMAL,2013
1,Enero,Martes,8,Alta Verapaz,Ignorado,Hombre,33,Mayor,Camión,CHOQUE,Hino,EBRIO,2013
1,Enero,Martes,3,Izabal,Ignorado,Hombre,25,Mayor,Motocicleta,CHOQUE,Ignorado,NORMAL,2013
1,Enero,Martes,4,Sacatepéquez,Ignorado,Mujer,25,Mayor,Motocicleta,CHOQUE,Ignorado,NORMAL,2013
1,Enero,Martes,2,Sacatepéquez,Ignorado,Hombre,22,Mayor,Motocicleta,CHOQUE,Ignorado,NORMAL,2013
2,Enero,Miercoles,15,Guatemala,1,Hombre,40,Mayor,Pick up,COLISION,Toyota,NORMAL,2013
2,Enero,Miercoles,15,Guatemala,1,Hombre,26,Mayor,Motocicleta,COLISION,Ignorado,NORMAL,2013
2,Enero,Miercoles,7,Guatemala,1,Ignorado,Ignorado,Ignorado,Bus urbano,COLISION,Ignorado,IGNORADO,2013
2,Enero,Miercoles,7,Guatemala,1,Ignorado,Ignorado,Ignorado,Bus urbano,COLISION,International,IGNORADO,2013
2,Enero,Miercoles,22,Guatemala,5,Hombre,49,Mayor,Taxi,COLISION,Hyundai,NORMAL,2013
2,Enero,Miercoles,22,Guatemala,5,Mujer,45,Mayor,Automovil,COLISION,Toyota,NORMAL,2013
2,Enero,Miercoles,7,Escuintla,Ignorado,Hombre,52,Mayor,Camión,COLISION,Toyota,NORMAL,2013
2,Enero,Miercoles,7,Escuintla,Ignorado,Hombre,32,Mayor,Motocicleta,COLISION,Ignorado,NORMAL,2013
2,Enero,Miercoles,10,Santa Rosa,Ignorado,Hombre,35,Mayor,Bus urbano,VUELCO,Ignorado,NORMAL,2013
2,Enero,Miercoles,18,Huehuetenango,3,Hombre,36,Mayor,Motocicleta,COLISION,Sniper,EBRIO,2013
2,Enero,Miercoles,18,Huehuetenango,3,Hombre,Ignorado,Ignorado,Motocicleta,COLISION,Ignorado,EBRIO,2013
2,Enero,Miercoles,10,Alta Verapaz,Ignorado,Hombre,42,Mayor,Bus urbano,VUELCO,Ford,NORMAL,2013
3,Enero,Jueves,11,Guatemala,10,Hombre,24,Mayor,Bus urbano,COLISION,Ignorado,NORMAL,2013
3,Enero,Jueves,11,Guatemala,10,Hombre,64,Mayor,Bus urbano,COLISION,Blue bird,NORMAL,2013
3,Enero,Jueves,21,Guatemala,6,Hombre,39,Mayor,Pick up,COLISION,Mitsubishi,EBRIO,2013
3,Enero,Jueves,21,Guatemala,6,Hombre,40,Mayor,Pick up,COLISION,Mazda,NORMAL,2013
3,Enero,Jueves,14,Escuintla,3,Hombre,31,Mayor,Camión,COLISION,Ignorado,NORMAL,2013
3,Enero,Jueves,14,Escuintla,3,Hombre,22,Mayor,Motocicleta,COLISION,Ignorado,NORMAL,2013
3,Enero,Jueves,19,Quetzaltenango,Ignorado,Hombre,56,Mayor,Camioneta,COLISION,Dodge_duplicated_11,EBRIO,2013
3,Enero,Jueves,19,Quetzaltenango,Ignorado,Hombre,56,Mayor,Motocicleta,COLISION,Ignorado,EBRIO,2013
3,Enero,Jueves,20,Huehuetenango,Ignorado,Hombre,27,Mayor,Pick up,VUELCO,Toyota,NORMAL,2013
3,Enero,Jueves,22,El Progreso,Ignorado,Hombre,60,Mayor,Microbus,COLISION,Hyundai,NORMAL,2013
3,Enero,Jueves,22,El Progreso,Ignorado,Hombre,30,Mayor,Cabezal,COLISION,Freightliner,NORMAL,2013
3,Enero,Jueves,16,Solola,Ignorado,Hombre,65,Mayor,Microbus,VUELCO,Hyundai,NORMAL,2013
4,Enero,Viernes,17,Guatemala,9,Hombre,26,Mayor,Automovil,COLISION,Mazda,EBRIO,2013
4,Enero,Viernes,17,Guatemala,9,Hombre,22,Mayor,Motocicleta,COLISION,Suzuki,NORMAL,2013
4,Enero,Viernes,7,Guatemala,18,Hombre,39,Mayor,Motocicleta,VUELCO,Ignorado,IGNORADO,2013
4,Enero,Viernes,6,Chiquimula,Ignorado,Hombre,47,Mayor,Tractor,COLISION,Ignorado,NORMAL,2013
4,Enero,Viernes,6,Chiquimula,Ignorado,Hombre,71,Mayor,Automovil,COLISION,Ignorado,NORMAL,2013
4,Enero,Viernes,15,Escuintla,Ignorado,Hombre,42,Mayor,Automovil,COLISION,Honda,IGNORADO,2013
4,Enero,Viernes,15,Escuintla,Ignorado,Ignorado,Ignorado,Ignorado,Cabezal,COLISION,Freightliner,IGNORADO,2013
4,Enero,Viernes,8,Suchitepéquez,1,Hombre,41,Mayor,Jeep,COLISION,Suzuki,NORMAL,2013
4,Enero,Viernes,8,Suchitepéquez,1,Hombre,37,Mayor,Motocicleta,COLISION,Bajaj,NORMAL,2013
4,Enero,Viernes,20,Quetzaltenango,7,Mujer,39,Mayor,Camioneta,COLISION,Suzuki,NORMAL,2013
4,Enero,Viernes,20,Quetzaltenango,7,Ignorado,Ignorado,Ignorado,Pick up,COLISION,Toyota,IGNORADO,2013
4,Enero,Viernes,18,Baja Verapaz,Ignorado,Hombre,46,Mayor,Automovil,VUELCO,Ignorado,IGNORADO,2013
4,Enero,Viernes,14,El Progreso,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,CAIDA,Ignorado,IGNORADO,2013
4,Enero,Viernes,17,Solola,Ignorado,Hombre,46,Mayor,Camioneta,VUELCO,Suzuki,IGNORADO,2013
5,Enero,Sabado,8,Guatemala,Ignorado,Hombre,47,Mayor,Camión,COLISION,Nissan_duplicated_37,IGNORADO,2013
5,Enero,Sabado,8,Guatemala,Ignorado,Hombre,30,Mayor,Automovil,COLISION,Mazda,IGNORADO,2013
5,Enero,Sabado,12,Chiquimula,Ignorado,Hombre,17,Menor,Motocicleta,COLISION,Ignorado,IGNORADO,2013
5,Enero,Sabado,12,Chiquimula,Ignorado,Ignorado,Ignorado,Ignorado,Camión,COLISION,Ignorado,IGNORADO,2013
5,Enero,Sabado,8,Suchitepéquez,Ignorado,Hombre,57,Mayor,Camión,COLISION,Freightliner,IGNORADO,2013
5,Enero,Sabado,8,Suchitepéquez,Ignorado,Hombre,34,Mayor,Motocicleta,COLISION,Bajaj,IGNORADO,2013
5,Enero,Sabado,7,Quetzaltenango,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,CAIDA,Ignorado,IGNORADO,2013
5,Enero,Sabado,9,Huehuetenango,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,CHOQUE,Toyota,IGNORADO,2013
5,Enero,Sabado,23,El Progreso,Ignorado,Hombre,38,Mayor,Cabezal,COLISION,Freightliner,IGNORADO,2013
5,Enero,Sabado,23,El Progreso,Ignorado,Hombre,28,Mayor,Camión,COLISION,Gmc,IGNORADO,2013
5,Enero,Sabado,16,Izabal,Ignorado,Hombre,53,Mayor,Camioneta,COLISION,Toyota,IGNORADO,2013
5,Enero,Sabado,16,Izabal,Ignorado,Hombre,45,Mayor,Camión,COLISION,Isuzu,NORMAL,2013
6,Enero,Domingo,9,Guatemala,1,Hombre,37,Mayor,Pick up,COLISION,Toyota,NORMAL,2013
6,Enero,Domingo,9,Guatemala,1,Hombre,23,Mayor,Microbus,COLISION,Mitsubishi,NORMAL,2013
6,Enero,Domingo,0,Guatemala,9,Hombre,29,Mayor,Automovil,CHOQUE,Mazda,IGNORADO,2013
6,Enero,Domingo,8,Zacapa,Ignorado,Hombre,19,Mayor,Motocicleta,VUELCO,Suzuki,NORMAL,2013
6,Enero,Domingo,11,Escuintla,Ignorado,Hombre,28,Mayor,Cabezal,COLISION,Freightliner,NORMAL,2013
6,Enero,Domingo,11,Escuintla,Ignorado,Hombre,88,Mayor,Motocicleta,COLISION,Suzuki,IGNORADO,2013
6,Enero,Domingo,19,Suchitepéquez,4,Hombre,24,Mayor,Motocicleta,VUELCO,Ignorado,EBRIO,2013
6,Enero,Domingo,23,Retalhuleu,6,Hombre,34,Mayor,Pick up,CHOQUE,Isuzu,EBRIO,2013
6,Enero,Domingo,17,Huehuetenango,Ignorado,Hombre,19,Mayor,Camioneta,CHOQUE,Toyota,EBRIO,2013
6,Enero,Domingo,17,Huehuetenango,Ignorado,Ignorado,Ignorado,Ignorado,Microbus,CHOQUE,Toyota,IGNORADO,2013
6,Enero,Domingo,0,Totonicapán,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,VUELCO,Ignorado,IGNORADO,2013
6,Enero,Domingo,20,El Progreso,Ignorado,Hombre,35,Mayor,Automovil,VUELCO,Volkwagen,NORMAL,2013
6,Enero,Domingo,22,Quiché,Ignorado,Hombre,43,Mayor,Pick up,COLISION,Toyota,IGNORADO,2013
6,Enero,Domingo,22,Quiché,Ignorado,Hombre,21,Mayor,Microbus,COLISION,Mitsubishi,IGNORADO,2013
6,Enero,Domingo,13,Chimaltenango,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,CHOQUE,Toyota,IGNORADO,2013
7,Enero,Lunes,5,Guatemala,12,Hombre,64,Mayor,Cabezal,COLISION,Kenworth,IGNORADO,2013
7,Enero,Lunes,17,Jutiapa,1,Hombre,25,Mayor,Automovil,CHOQUE,Mazda,IGNORADO,2013
7,Enero,Lunes,17,Jutiapa,1,Hombre,24,Mayor,Microbus,CHOQUE,Toyota,IGNORADO,2013
7,Enero,Lunes,19,Jutiapa,Ignorado,Mujer,26,Mayor,Camioneta,VUELCO,Chevrolet,NORMAL,2013
7,Enero,Lunes,13,Suchitepéquez,Ignorado,Hombre,18,Mayor,Mototaxi,VUELCO,Bajaj,NORMAL,2013
7,Enero,Lunes,15,Quetzaltenango,Ignorado,Hombre,24,Mayor,Motocicleta,VUELCO,Bajaj,IGNORADO,2013
7,Enero,Lunes,11,Totonicapán,Ignorado,Hombre,40,Mayor,Pick up,COLISION,Toyota,NORMAL,2013
7,Enero,Lunes,11,Totonicapán,Ignorado,Hombre,35,Mayor,Camión,COLISION,Ignorado,NORMAL,2013
7,Enero,Lunes,2,Sacatepéquez,1,Hombre,19,Mayor,Motocicleta,CHOQUE,Ignorado,IGNORADO,2013
8,Enero,Martes,12,Zacapa,Ignorado,Hombre,23,Mayor,Mototaxi,VUELCO,Ignorado,IGNORADO,2013
8,Enero,Martes,11,Guatemala,7,Hombre,39,Mayor,Camión,COLISION,International,NORMAL,2013
8,Enero,Martes,11,Guatemala,7,Hombre,34,Mayor,Motocicleta,COLISION,Ignorado,NORMAL,2013
8,Enero,Martes,6,Chimaltenango,Ignorado,Hombre,36,Mayor,Pick up,COLISION,Toyota,IGNORADO,2013
8,Enero,Martes,6,Chimaltenango,Ignorado,Hombre,29,Mayor,Camión,COLISION,Ignorado,IGNORADO,2013
8,Enero,Martes,6,Chimaltenango,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,COLISION,Chevrolet,IGNORADO,2013
8,Enero,Martes,6,Chimaltenango,Ignorado,Ignorado,Ignorado,Ignorado,Bus urbano,COLISION,Ignorado,IGNORADO,2013
8,Enero,Martes,17,Zacapa,Ignorado,Ignorado,Ignorado,Ignorado,Mototaxi,COLISION,Bajaj,IGNORADO,2013
8,Enero,Martes,19,San Marcos,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,CHOQUE,Toyota,IGNORADO,2013
9,Enero,Miercoles,7,Guatemala,11,Hombre,28,Mayor,Bus urbano,COLISION,International,NORMAL,2013
9,Enero,Miercoles,7,Guatemala,11,Hombre,47,Mayor,Bus urbano,COLISION,Mazda,NORMAL,2013
9,Enero,Miercoles,8,Solola,Ignorado,Ignorado,Ignorado,Ignorado,Microbus,VUELCO,Toyota,IGNORADO,2013
10,Enero,Jueves,8,Guatemala,11,Hombre,40,Mayor,Pick up,COLISION,Chevrolet,EBRIO,2013
10,Enero,Jueves,8,Guatemala,11,Mujer,63,Mayor,Camioneta,COLISION,Bmw,NORMAL,2013
10,Enero,Jueves,15,Guatemala,21,Mujer,38,Mayor,Camioneta,COLISION,Mitsubishi,NORMAL,2013
10,Enero,Jueves,15,Guatemala,21,Hombre,20,Mayor,Motocicleta,COLISION,Suzuki,NORMAL,2013
10,Enero,Jueves,11,Chiquimula,Ignorado,Hombre,56,Mayor,Pick up,VUELCO,Mitsubishi,NORMAL,2013
10,Enero,Jueves,7,Santa Rosa,Ignorado,Hombre,36,Mayor,Microbus,COLISION,Mitsubishi,NORMAL,2013
10,Enero,Jueves,7,Santa Rosa,Ignorado,Ignorado,Ignorado,Ignorado,Automovil,COLISION,Honda,IGNORADO,2013
10,Enero,Jueves,20,Suchitepéquez,Ignorado,Mujer,27,Mayor,Automovil,COLISION,Mitsubishi,EBRIO,2013
10,Enero,Jueves,20,Suchitepéquez,Ignorado,Hombre,34,Mayor,Mototaxi,COLISION,Bajaj,NORMAL,2013
10,Enero,Jueves,20,Suchitepéquez,Ignorado,Hombre,25,Mayor,Motocicleta,VUELCO,Bajaj,NORMAL,2013
10,Enero,Jueves,14,San Marcos,Ignorado,Hombre,19,Mayor,Microbus,COLISION,Toyota,NORMAL,2013
10,Enero,Jueves,14,San Marcos,Ignorado,Hombre,37,Mayor,Microbus,COLISION,Toyota,NORMAL,2013
10,Enero,Jueves,4,Alta Verapaz,Ignorado,Hombre,32,Mayor,Automovil,COLISION,Mitsubishi,EBRIO,2013
10,Enero,Jueves,4,Alta Verapaz,Ignorado,Hombre,45,Mayor,Camioneta,COLISION,Hyundai,NORMAL,2013
10,Enero,Jueves,20,Quiché,1,Hombre,23,Mayor,Pick up,CHOQUE,Toyota,EBRIO,2013
10,Enero,Jueves,5,Chimaltenango,Ignorado,Hombre,24,Mayor,Motocicleta,CHOQUE,Bajaj,NORMAL,2013
11,Enero,Viernes,9,Guatemala,1,Mujer,36,Mayor,Automovil,COLISION,Mitsubishi,NORMAL,2013
11,Enero,Viernes,9,Guatemala,1,Mujer,Ignorado,Mayor,Motocicleta,COLISION,Italika,NORMAL,2013
11,Enero,Viernes,7,Guatemala,Ignorado,Hombre,24,Mayor,Camión,COLISION,Ford,NORMAL,2013
11,Enero,Viernes,7,Guatemala,Ignorado,Hombre,Ignorado,Mayor,Automovil,COLISION,Bmw,NORMAL,2013
11,Enero,Viernes,1,Guatemala,11,Hombre,42,Mayor,Automovil,CHOQUE,Honda,NORMAL,2013
11,Enero,Viernes,19,Guatemala,6,Hombre,30,Mayor,Pick up,COLISION,Toyota,NORMAL,2013
