dia_ocu,dia_sem_ocu,hora_ocu,mes_ocu,depto_ocu,zona_ocu,sexo_pil,edad_pil,mayor_menor,estado_pil,tipo_vehi,marca_vehi,causa_acc,year
1,Miércoles,4,Enero,Guatemala,7,Hombre,20,Mayor,Ignorado,Automóvil,Mazda,Colisión,2014
1,Miércoles,4,Enero,Guatemala,7,Hombre,21,Mayor,Ignorado,Automóvil,Volsk waguen,Colisión,2014
1,Miércoles,4,Enero,Guatemala,7,Mujer,21,Mayor,Ignorado,Camioneta,Honda,Colisión,2014
1,Miércoles,4,Enero,Guatemala,7,Hombre,30,Mayor,Ignorado,Automóvil,Volsk waguen,Colisión,2014
1,Miércoles,4,Enero,Guatemala,7,Hombre,26,Mayor,Ignorado,Motocicleta,Bajaj,Colisión,2014
1,Miércoles,20,Enero,Guatemala,1,Hombre,18,Mayor,Ignorado,Automóvil,Suzuki,Colisión,2014
1,Miércoles,20,Enero,Guatemala,1,Hombre,27,Mayor,Ignorado,Automóvil,Chevrolet,Colisión,2014
1,Miércoles,2,Enero,Escuintla,1,Hombre,21,Mayor,Ignorado,Motocicleta,Suzuki,Colisión,2014
1,Miércoles,2,Enero,Escuintla,1,Hombre,16,Menor,Ignorado,Motocicleta,Seat,Colisión,2014
1,Miércoles,18,Enero,Retalhuleu,Ignorado,Hombre,53,Mayor,Ebrio,Camioneta,Isuzu,Choque,2014
1,Miércoles,1,Enero,Alta Verapaz,8,Hombre,56,Mayor,Ebrio,Automóvil,Toyota,Colisión,2014
1,Miércoles,1,Enero,Alta Verapaz,8,Hombre,32,Mayor,Normal,Pick up,Toyota,Colisión,2014
1,Miércoles,9,Enero,Izabal,Ignorado,Hombre,23,Mayor,Ebrio,Automóvil,Honda,Choque,2014
1,Miércoles,18,Enero,Chimaltenango,Ignorado,Hombre,45,Mayor,Ignorado,Automóvil,Seat,Choque,2014
1,Miércoles,22,Enero,Peten,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Automóvil,Ignorado,Colisión,2014
1,Miércoles,22,Enero,Peten,Ignorado,Hombre,20,Mayor,Ignorado,Motocicleta,Ignorado,Colisión,2014
1,Miércoles,22,Enero,Zacapa,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Automóvil,Ignorado,Colisión,2014
1,Miércoles,2,Enero,Escuintla,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2014
1,Miércoles,2,Enero,Escuintla,Ignorado,Hombre,Ignorado,Ignorado,Ignorado,Motocicleta,Suzuki,Colisión,2014
2,Jueves,19,Enero,Peten,Ignorado,Hombre,Ignorado,Ignorado,Ignorado,Automóvil,Ignorado,Colisión,2014
2,Jueves,19,Enero,Suchitepéquez,Ignorado,Hombre,20,Mayor,Ignorado,Automóvil,Toyota,Colisión,2014
2,Jueves,19,Enero,Suchitepéquez,Ignorado,Hombre,39,Mayor,Ignorado,Microbus,Toyota,Colisión,2014
2,Jueves,17,Enero,Guatemala,8,Hombre,58,Mayor,Ignorado,Pick up,Chevrolet,Colisión,2014
2,Jueves,17,Enero,Retalhuleu,Ignorado,Hombre,21,Mayor,Ignorado,Tractor,Ignorado,Colisión,2014
2,Jueves,17,Enero,Retalhuleu,Ignorado,Mujer,63,Mayor,Ignorado,Camioneta,Chevrolet,Colisión,2014
2,Jueves,16,Enero,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Ignorado,Choque,2014
2,Jueves,18,Enero,Guatemala,5,Mujer,30,Mayor,Ignorado,Automóvil,Mitsubishi,Choque,2014
3,Viernes,13,Enero,Guatemala,5,Hombre,26,Mayor,Ignorado,Automóvil,Ignorado,Colisión,2014
3,Viernes,13,Enero,Guatemala,5,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2014
3,Viernes,19,Enero,Guatemala,12,Hombre,27,Mayor,Ignorado,Motocicleta,Ignorado,Colisión,2014
3,Viernes,19,Enero,Guatemala,12,Ignorado,Ignorado,Ignorado,Ignorado,Automóvil,Ignorado,Colisión,2014
3,Viernes,19,Enero,Suchitepéquez,Ignorado,Hombre,17,Menor,Ignorado,Motocicleta,Ignorado,Colisión,2014
3,Viernes,19,Enero,Suchitepéquez,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,Ignorado,Colisión,2014
3,Viernes,11,Enero,Retalhuleu,Ignorado,Hombre,17,Menor,Ignorado,Motocicleta,Ignorado,Colisión,2014
3,Viernes,11,Enero,Retalhuleu,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Camioneta,Ignorado,Colisión,2014
3,Viernes,16,Enero,San Marcos,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,Ignorado,Choque,2014
3,Viernes,19,Enero,Santa rosa,Ignorado,Hombre,Ignorado,Mayor,Ignorado,Camioneta,Toyota,Colisión,2014
3,Viernes,19,Enero,Santa rosa,Ignorado,Hombre,57,Mayor,Ignorado,Pick up,Toyota,Colisión,2014
4,Sábado,10,Enero,Guatemala,19,Hombre,24,Mayor,Ignorado,Bus extraurbano,Mercedes Benz,Colisión,2014
4,Sábado,10,Enero,Guatemala,19,Hombre,Ignorado,Mayor,Ignorado,Bus extraurbano,Mercedes Benz,Colisión,2014
4,Sábado,21,Enero,Guatemala,9,Hombre,35,Mayor,Ignorado,Pick up,Mazda,Colisión,2014
4,Sábado,19,Enero,Quetzaltenango,Ignorado,Hombre,35,Mayor,Ignorado,Automóvil,Geo,Colisión,2014
4,Sábado,21,Enero,San Marcos,Ignorado,Hombre,27,Mayor,Ignorado,Automóvil,Volsk waguen,Colisión,2014
4,Sábado,18,Enero,Guatemala,3,Hombre,50,Mayor,Ignorado,Automóvil,Kia,Colisión,2014
4,Sábado,10,Enero,Guatemala,1,Hombre,52,Mayor,Ignorado,Cabezal,Hino,Colisión,2014
4,Sábado,13,Enero,Alta Verapaz,Ignorado,Hombre,50,Mayor,Ignorado,Pick up,Toyota,Colisión,2014
5,Domingo,2,Enero,Guatemala,1,Hombre,31,Mayor,Ignorado,Motocicleta,Land Rover,Choque,2014
5,Domingo,2,Enero,Guatemala,7,Hombre,21,Mayor,Ignorado,Camioneta,Land Rover,Choque,2014
5,Domingo,3,Enero,Guatemala,7,Hombre,37,Mayor,Ignorado,Automóvil,Mitsubishi,Colisión,2014
5,Domingo,18,Enero,Santa rosa,Ignorado,Hombre,39,Mayor,Ignorado,Pick up,Ignorado,Colisión,2014
5,Domingo,14,Enero,San Marcos,Ignorado,Hombre,Ignorado,Mayor,Ignorado,Automóvil,Ignorado,Vuelco,2014
5,Domingo,0,Enero,Totonicapán,Ignorado,Hombre,Ignorado,Mayor,Ignorado,Bus extraurbano,Ignorado,Vuelco,2014
5,Domingo,23,Enero,Peten,Ignorado,Hombre,Ignorado,Mayor,Ignorado,Ignorado,Ignorado,Vuelco,2014
6,Lunes,8,Enero,Guatemala,10,Mujer,50,Mayor,Ignorado,Automóvil,Peugeut,Colisión,2014
6,Lunes,3,Enero,Santa rosa,Ignorado,Mujer,14,Menor,Ignorado,Motocicleta,Ignorado,Choque,2014
6,Lunes,21,Enero,Quetzaltenango,8,Mujer,21,Mayor,Ignorado,Automóvil,Mazda,Colisión,2014
6,Lunes,21,Enero,Quetzaltenango,8,Hombre,24,Mayor,Ignorado,Motocicleta,Suzuki,Colisión,2014
6,Lunes,9,Enero,Huehuetenango,Ignorado,Hombre,28,Mayor,Ignorado,Pick up,Mazda,Choque,2014
7,Martes,5,Enero,El Progreso,Ignorado,Hombre,38,Mayor,Ignorado,Camión,Hino,Colisión,2014
7,Martes,5,Enero,El Progreso,Ignorado,Hombre,48,Mayor,Ignorado,Bus urbano,Ford,Colisión,2014
7,Martes,7,Enero,Jalapa,Ignorado,Hombre,23,Mayor,Ignorado,Pick up,Seat,Colisión,2014
7,Martes,18,Enero,Jalapa,Ignorado,Hombre,23,Mayor,Ignorado,Moto taxi,Bajaj,Colisión,2014
7,Martes,18,Enero,Jalapa,Ignorado,Hombre,23,Mayor,Ignorado,Motocicleta,Honda,Colisión,2014
7,Martes,16,Enero,Sololá,Ignorado,Hombre,51,Mayor,Ignorado,Camión,Isuzu,Caída,2014
8,Miércoles,19,Enero,Guatemala,2,Hombre,25,Mayor,Normal,Automóvil,Mazda,Colisión,2014
8,Miércoles,19,Enero,Guatemala,2,Mujer,48,Mayor,Normal,Automóvil,Toyota,Colisión,2014
8,Miércoles,16,Enero,Guatemala,1,Hombre,35,Mayor,Normal,Pick up,Seat,Colisión,2014
8,Miércoles,16,Enero,Guatemala,1,Hombre,39,Mayor,Normal,Automóvil,Toyota,Colisión,2014
8,Miércoles,8,Enero,Guatemala,7,Hombre,35,Mayor,Ignorado,Bus urbano,Ignorado,Colisión,2014
8,Miércoles,8,Enero,Guatemala,7,Hombre,37,Mayor,Ignorado,Motocicleta,Jialing,Colisión,2014
8,Miércoles,4,Enero,Guatemala,Ignorado,Hombre,22,Mayor,Ignorado,Motocicleta,Italica,Colisión,2014
8,Miércoles,4,Enero,Guatemala,Ignorado,Hombre,Ignorado,Mayor,Ignorado,Camión,Ignorado,Colisión,2014
