dia_ocu,hora_ocu,mes_ocu,dia_sem_ocu,depto_ocu,sexo_pil,zona_ocu,edad_pil,estado_pil,mayor_menor,tipo_vehi,marca_vehi,causa_acc,year
1,2,Enero,Viernes,Guatemala,Hombre,1,44,No ebrio,Mayor,Camioneta,Toyota,Colisión,2016
1,2,Enero,Viernes,Guatemala,Hombre,1,27,Ebrio,Mayor,Motocicleta,Ignorado,Colisión,2016
1,2,Enero,Viernes,Guatemala,Hombre,18,33,Ebrio,Mayor,Automóvil,Mazda,Colisión,2016
1,2,Enero,Viernes,Guatemala,Hombre,18,34,No ebrio,Mayor,Pick up,Toyota,Colisión,2016
1,13,Enero,Viernes,Guatemala,Hombre,18,30,Ignorado,Mayor,Automóvil,Ignorado,Colisión,2016
1,13,Enero,Viernes,Guatemala,Hombre,18,20,Ignorado,Mayor,Automóvil,Ignorado,Colisión,2016
1,10,Enero,Viernes,Guatemala,Mujer,Ignorada,30,No ebrio,Mayor,Pick up,Mitsubishi,Vuelco,2016
1,12,Enero,Viernes,Guatemala,Hombre,Ignorada,20,No ebrio,Mayor,Motocicleta,Asia Hero,Colisión,2016
1,12,Enero,Viernes,Guatemala,Hombre,Ignorada,33,No ebrio,Mayor,Moto taxi,Bajaj,Colisión,2016
1,12,Enero,Viernes,Guatemala,Hombre,Ignorada,46,No ebrio,Mayor,Camioneta,Kia,Colisión,2016
1,12,Enero,Viernes,Guatemala,Hombre,Ignorada,31,No ebrio,Mayor,Automóvil,Mazda,Colisión,2016
1,5,Enero,Viernes,Guatemala,Hombre,Ignorada,30,No ebrio,Mayor,Automóvil,Toyota,Colisión,2016
1,5,Enero,Viernes,Guatemala,Hombre,Ignorada,22,No ebrio,Mayor,Automóvil,Mazda,Colisión,2016
1,5,Enero,Viernes,Guatemala,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Moto taxi,Toyota,Colisión,2016
1,2,Enero,Viernes,Guatemala,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Automóvil,Ignorado,Colisión,2016
1,2,Enero,Viernes,Guatemala,Mujer,Ignorada,22,Ignorado,Mayor,Motocicleta,Ignorado,Colisión,2016
1,10,Enero,Viernes,Jutiapa,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2016
