"año_ocu",dia_ocu,"hora_ocu","g_hora","g_hora_5","mes_ocu",dia_sem_ocu,"mupio_ocu","depto_ocu","zona_ocu","sexo_per","edad_per","g_edad_80ymás","g_edad_60ymás","edad_quinquenales","estado_con","mayor_menor","tipo_veh","marca_veh","color_veh","modelo_veh","g_modelo_veh","tipo_eve","year"
2017,1,"1","00:00 a 05:59","Mañana","Enero","Domingo","Guatemala","Guatemala","6","Hombre","37","35-39","35-39","35 - 39 ","No ebrio","Mayor","Bus urbano","Blue Bird","Amarillo","1971","1970-1979","Colisión","2017"
2017,1,"1","00:00 a 05:59","Mañana","Enero","Domingo","Guatemala","Guatemala","6","Hombre","39","35-39","35-39","35 - 39 ","Ebrio","Mayor","Automóvil","Hyundai","Blanco","Ignorado","Ignorado","Colisión","2017"
2017,1,"2","00:00 a 05:59","Mañana","Enero","Domingo","San Juan Sacatepéquez","Guatemala","Ignorada","Hombre","20","20-24","20-24","20 - 24 ","Ebrio","Mayor","Motocicleta","Freedom","Rojo","Ignorado","Ignorado","Choque","2017"
2017,1,"10","06:00 a 11:59","Mañana","Enero","Domingo","Siquinalá","Escuintla","Ignorada","Hombre","20","20-24","20-24","20 - 24 ","Ignorado","Mayor","Moto taxi","Bajaj","Rojo","2014","2010-2018","Colisión","2017"
2017,1,"10","06:00 a 11:59","Mañana","Enero","Domingo","Siquinalá","Escuintla","Ignorada","Hombre","25","25-29","25-29","25 - 29 ","Ignorado","Mayor","Automóvil","Toyota","Gris","1992","1990-1999","Colisión","2017"
2017,1,"14","12:00 a 17:59","Tarde","Enero","Domingo","Palín","Escuintla","Ignorada","Hombre","21","20-24","20-24","20 - 24 ","No ebrio","Mayor","Motocicleta","Serpento","Negro","Ignorado","Ignorado","Colisión","2017"
2017,1,"14","12:00 a 17:59","Tarde","Enero","Domingo","Palín","Escuintla","Ignorada","Hombre","47","45-49","45-49","45 - 49 ","No ebrio","Mayor","Pick up","Toyota","Blanco","1994","1990-1999","Colisión","2017"
2017,1,"2","00:00 a 05:59","Mañana","Enero","Domingo","Santa Lucía Cotzumalguapa","Escuintla","Ignorada","Hombre","30","30-34","30-34","30 - 34 ","Ignorado","Mayor","Motocicleta","Movesa","Negro","Ignorado","Ignorado","Colisión","2017"
2017,1,"2","00:00 a 05:59","Mañana","Enero","Domingo","Santa Lucía Cotzumalguapa","Escuintla","Ignorada","Ignorado","Ignorada","Ignorado","Ignorado","Ignorado ","Ignorado","Ignorado","Automóvil","Mitsubishi","Gris","Ignorado","Ignorado","Colisión","2017"
2017,1,"20","18:00 a 23:59","Noche","Enero","Domingo","San Pedro Ayampuc","Guatemala","Ignorada","Hombre","54","50-54","50-54","50 - 54 ","No ebrio","Mayor","Camión","Ud Trucks","Blanco","1994","1990-1999","Colisión","2017"
2017,1,"20","18:00 a 23:59","Noche","Enero","Domingo","San Pedro Ayampuc","Guatemala","Ignorada","Hombre","18","15-19","15-19","15 - 19 ","Ignorado","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Colisión","2017"
2017,1,"21","18:00 a 23:59","Noche","Enero","Domingo","San Pedro Ayampuc","Guatemala","Ignorada","Hombre","29","25-29","25-29","25 - 29 ","Ebrio","Mayor","Motocicleta","Ignorado","Rojo","2013","2010-2018","Colisión","2017"
2017,1,"21","18:00 a 23:59","Noche","Enero","Domingo","San Pedro Ayampuc","Guatemala","Ignorada","Hombre","54","50-54","50-54","50 - 54 ","No ebrio","Mayor","Automóvil","Hyundai","Blanco","2012","2010-2018","Colisión","2017"
2017,1,"7","06:00 a 11:59","Mañana","Enero","Domingo","Huehuetenango","Huehuetenango","Ignorada","Hombre","33","30-34","30-34","30 - 34 ","Ebrio","Mayor","Motocicleta","Suzuki","Rojo","2007","2000-2009","Choque","2017"
2017,1,"16","12:00 a 17:59","Tarde","Enero","Domingo","Totonicapán","Totonicapán","Ignorada","Hombre","35","35-39","35-39","35 - 39 ","Ignorado","Mayor","Camioneta","Toyota","Corinto","Ignorado","Ignorado","Colisión","2017"
2017,1,"16","12:00 a 17:59","Tarde","Enero","Domingo","Totonicapán","Totonicapán","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado ","Ignorado","Mayor","Automóvil","Toyota","Rojo","Ignorado","Ignorado","Colisión","2017"
2017,1,"16","12:00 a 17:59","Tarde","Enero","Domingo","Totonicapán","Totonicapán","Ignorada","Mujer","Ignorada","Ignorado","Ignorado","Ignorado ","Ignorado","Mayor","Camioneta","Toyota","Negro","Ignorado","Ignorado","Colisión","2017"
2017,1,"18","18:00 a 23:59","Noche","Enero","Domingo","San Cristobal Totonicapán","Totonicapán","Ignorada","Hombre","29","25-29","25-29","25 - 29 ","Ignorado","Mayor","Pick up","Nissan","Café","1982","1980-1989","Colisión","2017"
2017,1,"18","18:00 a 23:59","Noche","Enero","Domingo","San Cristobal Totonicapán","Totonicapán","Ignorada","Hombre","52","50-54","50-54","50 - 54 ","Ignorado","Mayor","Pick up","Toyota","Verde","2007","2000-2009","Colisión","2017"
2017,1,"18","18:00 a 23:59","Noche","Enero","Domingo","Santa Catalina la Tinta","Alta Verapaz","Ignorada","Hombre","30","30-34","30-34","30 - 34 ","Ignorado","Mayor","Pick up","Toyota","Rojo","2004","2000-2009","Choque","2017"
2017,1,"0","00:00 a 05:59","Mañana","Enero","Domingo","San Agustín Acasaguastlán","El Progreso","Ignorada","Hombre","23","20-24","20-24","20 - 24 ","Ignorado","Mayor","Motocicleta","Bajaj","Azul","Ignorado","Ignorado","Choque","2017"
2017,1,"14","12:00 a 17:59","Tarde","Enero","Domingo","San Benito","Peten","Ignorada","Hombre","45","45-49","45-49","45 - 49 ","Ignorado","Mayor","Jeep","Jeep","Blanco","Ignorado","Ignorado","Colisión","2017"
2017,1,"14","12:00 a 17:59","Tarde","Enero","Domingo","San Benito","Peten","Ignorada","Hombre","23","20-24","20-24","20 - 24 ","Ignorado","Mayor","Motocicleta","Honda","Negro","Ignorado","Ignorado","Colisión","2017"
2017,1,"8","06:00 a 11:59","Mañana","Enero","Domingo","Sayaxché","Peten","Ignorada","Hombre","22","20-24","20-24","20 - 24 ","Ignorado","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Choque","2017"
2017,1,"2","00:00 a 05:59","Mañana","Enero","Domingo","Panajachel","Sololá","Ignorada","Hombre","32","30-34","30-34","30 - 34 ","Ebrio","Mayor","Automóvil","Volvo","Rojo","Ignorado","Ignorado","Choque","2017"
