dia_ocu,hora_ocu,mes_ocu,dia_sem_ocu,depto_ocu,zona_ocu,sexo_pil,edad_pil,estado_pil,mayor_menor,tipo_vehi,marca_vehi,causa_acc,year
1,16,Enero,Lunes,Guatemala,Ignorada,Hombre,28,Ignorado,Mayor,Motocicleta,Italika,Choque,2018
1,12,Enero,Lunes,Jutiapa,Ignorada,Hombre,19,No ebrio,Mayor,Automóvil,Toyota,Colisión,2018
1,12,Enero,Lunes,Jutiapa,Ignorada,Hombre,60,No ebrio,Mayor,Motocicleta,Bajaj,Colisión,2018
1,7,Enero,Lunes,Jalapa,Ignorada,Hombre,42,Ignorado,Mayor,Automóvil,Ignorado,Choque,2018
1,22,Enero,Lunes,Zacapa,Ignorada,Hombre,17,Ignorado,Menor,Motocicleta,Ignorado,Choque,2018
1,23,Enero,Lunes,Zacapa,Ignorada,Hombre,47,Ignorado,Mayor,Motocicleta,Honda,Choque,2018
1,1,Enero,Lunes,Escuintla,Ignorada,Hombre,23,No ebrio,Mayor,Automóvil,Toyota,Colisión,2018
1,1,Enero,Lunes,Escuintla,Ignorada,Hombre,30,No ebrio,Mayor,Pick up,Toyota,Colisión,2018
1,4,Enero,Lunes,Escuintla,Ignorada,Hombre,30,No ebrio,Mayor,Motocicleta,Suzuki,Choque,2018
1,21,Enero,Lunes,Santa Rosa,Ignorada,Hombre,17,No ebrio,Menor,Motocicleta,Suzuki,Choque,2018
1,9,Enero,Lunes,Santa Rosa,Ignorada,Hombre,25,Ignorado,Mayor,Pick up,Toyota,Vuelco,2018
1,11,Enero,Lunes,Retalhuleu,Ignorada,Hombre,49,No ebrio,Mayor,Automóvil,Mazda,Colisión,2018
1,11,Enero,Lunes,Retalhuleu,Ignorada,Hombre,23,Ebrio,Mayor,Motocicleta,Yumbo dakar,Colisión,2018
1,18,Enero,Lunes,Retalhuleu,Ignorada,Hombre,18,No ebrio,Mayor,Camioneta,Honda,Colisión,2018
1,18,Enero,Lunes,Retalhuleu,Ignorada,Hombre,39,No ebrio,Mayor,Bicicleta,Ignorado,Colisión,2018
1,23,Enero,Lunes,Baja Verapaz,Ignorada,Hombre,18,Ignorado,Mayor,Motocicleta,Ignorado,Choque,2018
1,23,Enero,Lunes,Petén,Ignorada,Hombre,35,Ignorado,Mayor,Motocicleta,Ignorado,Choque,2018
1,5,Enero,Lunes,Quiché,Ignorada,Hombre,72,No ebrio,Mayor,Panel,Toyota,Choque,2018
1,16,Enero,Lunes,Quiché,Ignorada,Hombre,44,No ebrio,Mayor,Automóvil,Geo,Colisión,2018
1,16,Enero,Lunes,Quiché,Ignorada,Hombre,25,Ebrio,Mayor,Motocicleta,Italika,Colisión,2018
1,7,Enero,Lunes,Sacatepéquez,Ignorada,Hombre,53,No ebrio,Mayor,Pick up,Toyota,Colisión,2018
