"año_ocu",dia_ocu,"hora_ocu","g_hora","g_hora_5","mes_ocu",dia_sem_ocu,"depto_ocu","mupio_ocu","zona_ocu","sexo_per","edad_per","g_edad_80ymás","g_edad_60ymás","edad_quinquenales","estado_con","mayor_menor","tipo_veh","marca_veh","color_veh","modelo_veh","g_modelo_veh","tipo_eve","year"
2019,1,"5","00:00 a 05:59","Mañana","Enero","Martes","Guatemala","Guatemala ","3","Hombre","20","20-24","20-24","20 - 24","No Ebrio","Mayor","Motocicleta","Serpento","Negro","2018","2010-2019","Derrape","2019"
2019,1,"21","18:00 a 23:59","Noche","Enero","Martes","Guatemala","Guatemala ","1","Hombre","26","25-29","25-29","25 - 29","Ignorado","Mayor","Camioneta","Scion","Anaranjado","Ignorado","Ignorado","Colision","2019"
2019,1,"21","18:00 a 23:59","Noche","Enero","Martes","Guatemala","Guatemala ","1","Hombre","30","30-34","30-34","30 - 34","Ignorado","Mayor","Motocicleta","Bajaj","Negro","2018","2010-2019","Colision","2019"
2019,1,"7","06:00 a 11:59","Mañana","Enero","Martes","Guatemala","Guatemala ","18","Hombre","40","40-44","40-44","40 - 44","No Ebrio","Mayor","Automóvil","Kia","Celeste","2019","2010-2019","Colision","2019"
2019,1,"7","06:00 a 11:59","Mañana","Enero","Martes","Guatemala","Guatemala ","18","Hombre","30","30-34","30-34","30 - 34","No Ebrio","Mayor","Motocicleta","Freedom","Negro","2018","2010-2019","Colision","2019"
2019,1,"11","06:00 a 11:59","Mañana","Enero","Martes","Guatemala","Santa Catarina Pinula ","Ignorada","Hombre","25","25-29","25-29","25 - 29","Ignorado","Mayor","Automóvil","Toyota","Negro","2007","2000-2009","Colision","2019"
2019,1,"11","06:00 a 11:59","Mañana","Enero","Martes","Guatemala","Santa Catarina Pinula ","Ignorada","Hombre","23","20-24","20-24","20 - 24","Ignorado","Mayor","Motocicleta","Suzuki","Azul","2006","2000-2009","Colision","2019"
2019,1,"8","06:00 a 11:59","Mañana","Enero","Martes","Guatemala","Guatemala ","7","Hombre","25","25-29","25-29","25 - 29","No Ebrio","Mayor","Motocicleta","Honda","Rojo","Ignorado","Ignorado","Derrape","2019"
2019,1,"0","00:00 a 05:59","Mañana","Enero","Martes","Guatemala","Guatemala ","7","Ignorado","Ignorada","Ignorado","65-69","Ignorado","Ignorado","Ignorado","Automóvil","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2019"
2019,1,"0","00:00 a 05:59","Mañana","Enero","Martes","Guatemala","Guatemala ","7","Hombre","32","30-34","30-34","30 - 34","Ignorado","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2019"
2019,1,"4","00:00 a 05:59","Mañana","Enero","Martes","Guatemala","Villa Nueva","Ignorada","Mujer","24","20-24","20-24","20 - 24","No Ebrio","Mayor","Motocicleta","Ignorado","Rojo","Ignorado","Ignorado","Derrape","2019"
2019,1,"4","00:00 a 05:59","Mañana","Enero","Martes","Guatemala","Amatitlán","Ignorada","Ignorado","Ignorada","Ignorado","65-69","Ignorado","Ignorado","Ignorado","Automóvil","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2019"
2019,1,"4","00:00 a 05:59","Mañana","Enero","Martes","Guatemala","Amatitlán","Ignorada","Hombre","50","50-54","50-54","50 - 54","Ignorado","Mayor","Motocicleta","Yumbo dakar","Azul","Ignorado","Ignorado","Colision","2019"
2019,1,"11","06:00 a 11:59","Mañana","Enero","Martes","Guatemala","Mixco","Ignorada","Mujer","28","25-29","25-29","25 - 29","No Ebrio","Mayor","Automóvil","Toyota","Ignorado","Ignorado","Ignorado","Colision","2019"
2019,1,"11","06:00 a 11:59","Mañana","Enero","Martes","Guatemala","Mixco","Ignorada","Hombre","41","40-44","40-44","40 - 44","No Ebrio","Mayor","Motocicleta","Italika","Negro","Ignorado","Ignorado","Colision","2019"
2019,1,"12","12:00 a 17:59","Tarde","Enero","Martes","Guatemala","San Juan Sacatepéquez","Ignorada","Mujer","23","20-24","20-24","20 - 24","No Ebrio","Mayor","Automóvil","Nissan","Ignorado","Ignorado","Ignorado","Colision","2019"
2019,1,"12","12:00 a 17:59","Tarde","Enero","Martes","Guatemala","San Juan Sacatepéquez","Ignorada","Ignorado","Ignorada","Ignorado","65-69","Ignorado","Ignorado","Ignorado","Automóvil","BMW","Corinto","Ignorado","Ignorado","Colision","2019"
2019,1,"16","12:00 a 17:59","Tarde","Enero","Martes","Guatemala","Chuarrancho","Ignorada","Mujer","14","Menor de 15","Menor de 15","10 - 14","Ignorado","Menor","Camioneta","Ignorado","Ignorado","Ignorado","Ignorado","Vuelco","2019"
2019,1,"22","18:00 a 23:59","Noche","Enero","Martes","Guatemala","San Raymundo","Ignorada","Ignorado","Ignorada","Ignorado","65-69","Ignorado","Ignorado","Ignorado","Automóvil","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2019"
2019,1,"1","00:00 a 05:59","Mañana","Enero","Martes","Jalapa","Jalapa","Ignorada","Ignorado","Ignorada","Ignorado","65-69","Ignorado","Ignorado","Ignorado","Motocicleta","Yumbo dakar","Negro","Ignorado","Ignorado","Derrape","2019"
2019,1,"4","00:00 a 05:59","Mañana","Enero","Martes","Chiquimula","Quezaltepeque","Ignorada","Hombre","24","20-24","20-24","20 - 24","Ignorado","Mayor","Motocicleta","Suzuki","Azul","Ignorado","Ignorado","Derrape","2019"
2019,1,"9","06:00 a 11:59","Mañana","Enero","Martes","Chiquimula","Quezaltepeque","Ignorada","Hombre","26","25-29","25-29","25 - 29","Ignorado","Mayor","Motocicleta","Suzuki","Blanco","Ignorado","Ignorado","Derrape","2019"
2019,1,"11","06:00 a 11:59","Mañana","Enero","Martes","Zacapa","Teculután","Ignorada","Hombre","39","35-39","35-39","35 - 39","No Ebrio","Mayor","Camioneta","Mitsubishi","Corinto","Ignorado","Ignorado","Colision","2019"
2019,1,"11","06:00 a 11:59","Mañana","Enero","Martes","Zacapa","Teculután","Ignorada","Hombre","35","35-39","35-39","35 - 39","No Ebrio","Mayor","Automóvil","Toyota","Blanco","Ignorado","Ignorado","Colision","2019"
2019,1,"11","06:00 a 11:59","Mañana","Enero","Martes","Zacapa","Teculután","Ignorada","Hombre","44","40-44","40-44","40 - 44","Ebrio","Mayor","Motocicleta","Suzuki","Ignorado","Ignorado","Ignorado","Colision","2019"
2019,1,"22","18:00 a 23:59","Noche","Enero","Martes","Escuintla","Escuintla","Ignorada","Hombre","40","40-44","40-44","40 - 44","Ignorado","Mayor","Pick up","Toyota","Blanco","Ignorado","Ignorado","Colision","2019"
2019,1,"22","18:00 a 23:59","Noche","Enero","Martes","Escuintla","Escuintla","Ignorada","Hombre","Ignorada","Ignorado","65-69","Ignorado","Ignorado","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2019"
2019,1,"1","00:00 a 05:59","Mañana","Enero","Martes","Escuintla","Tiquisate","Ignorada","Hombre","28","25-29","25-29","25 - 29","Ebrio","Mayor","Motocicleta","Bajaj","Negro","Ignorado","Ignorado","Colision","2019"
2019,1,"1","00:00 a 05:59","Mañana","Enero","Martes","Escuintla","Tiquisate","Ignorada","Mujer","18","15-19","15-19","15 - 19","Ebrio","Mayor","Motocicleta","Suzuki","Negro","2016","2010-2019","Colision","2019"
2019,1,"7","06:00 a 11:59","Mañana","Enero","Martes","Escuintla","Escuintla","Ignorada","Hombre","25","25-29","25-29","25 - 29","Ignorado","Mayor","Motocicleta","Honda","Azul","Ignorado","Ignorado","Derrape","2019"
2019,1,"15","12:00 a 17:59","Tarde","Enero","Martes","Escuintla","Escuintla","Ignorada","Hombre","37","35-39","35-39","35 - 39","Ignorado","Mayor","Automóvil","Nissan","Verde","Ignorado","Ignorado","Vuelco","2019"
2019,1,"5","00:00 a 05:59","Mañana","Enero","Martes","Santa Rosa","Chiquimulilla","Ignorada","Hombre","39","35-39","35-39","35 - 39","Ignorado","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Derrape","2019"
2019,1,"0","00:00 a 05:59","Mañana","Enero","Martes","Santa Rosa","Pueblo Nuevo Viñas","Ignorada","Hombre","21","20-24","20-24","20 - 24","Ignorado","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Derrape","2019"
2019,1,"16","12:00 a 17:59","Tarde","Enero","Martes","Suchitepéquez","Zunilito","Ignorada","Hombre","64","60-64","60-64","60 - 64","Ignorado","Mayor","Pick up","Toyota","Corinto","Ignorado","Ignorado","Colision","2019"
2019,1,"16","12:00 a 17:59","Tarde","Enero","Martes","Suchitepéquez","Zunilito","Ignorada","Hombre","Ignorada","Ignorado","65-69","Ignorado","Ignorado","Mayor","Automóvil","Ignorado","Gris","Ignorado","Ignorado","Colision","2019"
2019,1,"16","12:00 a 17:59","Tarde","Enero","Martes","Suchitepéquez","Zunilito","Ignorada","Hombre","Ignorada","Ignorado","65-69","Ignorado","Ignorado","Mayor","Motocicleta","Honda","Gris","Ignorado","Ignorado","Colision","2019"
2019,1,"8","06:00 a 11:59","Mañana","Enero","Martes","Quetzaltenango","San Mateo","Ignorada","Hombre","25","25-29","25-29","25 - 29","Ebrio","Mayor","Motocicleta","Freedom","Rojo","Ignorado","Ignorado","Colision","2019"
2019,1,"21","18:00 a 23:59","Noche","Enero","Martes","Quetzaltenango","La Esperanza","Ignorada","Ignorado","Ignorada","Ignorado","65-69","Ignorado","Ignorado","Ignorado","Automóvil","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2019"
2019,1,"21","18:00 a 23:59","Noche","Enero","Martes","Quetzaltenango","La Esperanza","Ignorada","Hombre","37","35-39","35-39","35 - 39","Ignorado","Mayor","Motocicleta","Jialing","Negro","Ignorado","Ignorado","Colision","2019"
2019,1,"8","06:00 a 11:59","Mañana","Enero","Martes","Quetzaltenango","San Mateo","Ignorada","Hombre","27","25-29","25-29","25 - 29","No Ebrio","Mayor","Motocicleta","Ignorado","Verde","Ignorado","Ignorado","Colision","2019"
2019,1,"14","12:00 a 17:59","Tarde","Enero","Martes","San Marcos","Ixchiguán","Ignorada","Hombre","23","20-24","20-24","20 - 24","Ignorado","Mayor","Camioneta","Toyota","Verde","Ignorado","Ignorado","Colision","2019"
2019,1,"14","12:00 a 17:59","Tarde","Enero","Martes","San Marcos","Ixchiguán","Ignorada","Hombre","Ignorada","Ignorado","65-69","Ignorado","Ignorado","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2019"
