año_ocu,dia_ocu,hora_ocu,"g_hora","g_hora_5",mes_ocu,dia_sem_ocu,"depto_ocu","mupio_ocu","zona_ocu","sexo_per","edad_per","g_edad_80ymás","g_edad_60ymás","edad_quinquenales","estado_con","mayor_menor","tipo_veh","marca_veh","color_veh","modelo_veh","g_modelo_veh","causa_acc","year"
2020,1,"1","00:00 a 05:59","Mañana","Enero","Miercoles","Guatemala","Guatemala ","6","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Camioneta","Mazda","Azul","Ignorado","Ignorado","Colision","2020"
2020,1,"1","00:00 a 05:59","Mañana","Enero","Miercoles","Guatemala","Guatemala ","6","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Automóvil","Mitsubishi","Gris","Ignorado","Ignorado","Colision","2020"
2020,1,"15","12:00 a 17:59","Tarde","Enero","Miercoles","Guatemala","Guatemala ","6","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","No Ebrio","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2020"
2020,1,"15","12:00 a 17:59","Tarde","Enero","Miercoles","Guatemala","Guatemala ","6","Hombre","33","30-34","30-34","30 - 34","No Ebrio","Mayor","Automóvil","Honda","Negro","1993","1990-1999","Colision","2020"
2020,1,"5","00:00 a 05:59","Mañana","Enero","Miercoles","Guatemala","Guatemala ","12","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Automóvil","Honda","Azul","Ignorado","Ignorado","Colision","2020"
2020,1,"5","00:00 a 05:59","Mañana","Enero","Miercoles","Guatemala","Guatemala ","12","Hombre","63","60-64","60 o más","60 - 64","No Ebrio","Mayor","Motocicleta","Italika","Verde","Ignorado","Ignorado","Colision","2020"
2020,1,"7","06:00 a 11:59","Mañana","Enero","Miercoles","Guatemala","Villa Canales","Ignorada","Hombre","52","50-54","50-54","50 - 54","No Ebrio","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Derrape","2020"
2020,1,"12","12:00 a 17:59","Tarde","Enero","Miercoles","Guatemala","Mixco","Ignorada","Hombre","43","40-44","40-44","40 - 44","Ebrio","Mayor","Automóvil","Renault","Rojo","2004","2000-2009","Colision","2020"
2020,1,"12","12:00 a 17:59","Tarde","Enero","Miercoles","Guatemala","Mixco","Ignorada","Hombre","35","35-39","35-39","35 - 39","No Ebrio","Mayor","Automóvil","Honda","Rojo","1999","1990-1999","Colision","2020"
2020,1,"0","00:00 a 05:59","Mañana","Enero","Miercoles","Jutiapa","Asunción Mita","Ignorada","Hombre","55","55-59","55-59","55 - 59","Ebrio","Mayor","Pick up","Toyota","Ignorado","1994","1990-1999","Colision","2020"
2020,1,"0","00:00 a 05:59","Mañana","Enero","Miercoles","Jutiapa","Asunción Mita","Ignorada","Hombre","34","30-34","30-34","30 - 34","No Ebrio","Mayor","Automóvil","Honda","Gris","2005","2000-2009","Colision","2020"
2020,1,"16","12:00 a 17:59","Tarde","Enero","Miercoles","Chiquimula","Chiquimula","Ignorada","Hombre","29","25-29","25-29","25 - 29","No Ebrio","Mayor","Camioneta","Ignorado","Blanco","Ignorado","Ignorado","Vuelco","2020"
2020,1,"11","06:00 a 11:59","Mañana","Enero","Miercoles","Escuintla","San José","Ignorada","Hombre","27","25-29","25-29","25 - 29","Ebrio","Mayor","Automóvil","Volkswagen","Negro","Ignorado","Ignorado","Colision","2020"
2020,1,"11","06:00 a 11:59","Mañana","Enero","Miercoles","Escuintla","San José","Ignorada","Hombre","55","55-59","55-59","55 - 59","No Ebrio","Mayor","Bicicleta","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2020"
2020,1,"7","06:00 a 11:59","Mañana","Enero","Miercoles","Santa Rosa","Cuilapa","Ignorada","Hombre","36","35-39","35-39","35 - 39","No Ebrio","Mayor","Automóvil","Toyota","Gris","2004","2000-2009","Colision","2020"
2020,1,"7","06:00 a 11:59","Mañana","Enero","Miercoles","Santa Rosa","Cuilapa","Ignorada","Hombre","27","25-29","25-29","25 - 29","No Ebrio","Mayor","Automóvil","Kia","Blanco","2004","2000-2009","Colision","2020"
2020,1,"14","12:00 a 17:59","Tarde","Enero","Miercoles","Suchitepéquez","Cuyotenango","Ignorada","Hombre","34","30-34","30-34","30 - 34","Ignorado","Mayor","Microbús","Toyota","Azul","2020","2020-2029","Colision","2020"
2020,1,"14","12:00 a 17:59","Tarde","Enero","Miercoles","Suchitepéquez","Cuyotenango","Ignorada","Hombre","55","55-59","55-59","55 - 59","Ignorado","Mayor","Pick up","Ignorado","Blanco","Ignorado","Ignorado","Colision","2020"
2020,1,"9","06:00 a 11:59","Mañana","Enero","Miercoles","Suchitepéquez","Patulul","Ignorada","Hombre","22","20-24","20-24","20 - 24","Ignorado","Mayor","Motocicleta","Freedom","Negro","Ignorado","Ignorado","Choque","2020"
2020,1,"2","00:00 a 05:59","Mañana","Enero","Miercoles","Retalhuleu","San Andrés Villa Seca","Ignorada","Hombre","15","15-19","15-19","15 - 19","No Ebrio","Menor","Motocicleta","Ignorado","Blanco","Ignorado","Ignorado","Derrape","2020"
2020,1,"2","00:00 a 05:59","Mañana","Enero","Miercoles","Quetzaltenango","Olintepeque","Ignorada","Hombre","23","20-24","20-24","20 - 24","No Ebrio","Mayor","Motocicleta","Serpento","Negro","Ignorado","Ignorado","Colision","2020"
2020,1,"2","00:00 a 05:59","Mañana","Enero","Miercoles","Quetzaltenango","Olintepeque","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Motocicleta","Ignorado","Rojo","Ignorado","Ignorado","Colision","2020"
2020,1,"17","12:00 a 17:59","Tarde","Enero","Miercoles","Alta Verapaz","Chisec","Ignorada","Hombre","34","30-34","30-34","30 - 34","Ebrio","Mayor","Motocicleta","Bajaj","Rojo","2008","2000-2009","Colision","2020"
2020,1,"17","12:00 a 17:59","Tarde","Enero","Miercoles","Alta Verapaz","Chisec","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Moto taxi","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2020"
2020,1,"0","00:00 a 05:59","Mañana","Enero","Miercoles","Izabal","Puerto Barrios","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2020"
2020,1,"0","00:00 a 05:59","Mañana","Enero","Miercoles","Izabal","Puerto Barrios","Ignorada","Hombre","20","20-24","20-24","20 - 24","Ignorado","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2020"
2020,1,"9","06:00 a 11:59","Mañana","Enero","Miercoles","Quiché","Sacapulas","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Pick up","Toyota","Rojo","Ignorado","Ignorado","Vuelco","2020"
2020,1,"20","18:00 a 23:59","Noche","Enero","Miercoles","Chimaltenango","Tecpán Guatemala","Ignorada","Hombre","59","55-59","55-59","55 - 59","No Ebrio","Mayor","Pick up","Toyota","Rojo","2008","2000-2009","Colision","2020"
2020,2,"17","12:00 a 17:59","Tarde","Enero","Jueves","Guatemala","San José Pinula","Ignorada","Hombre","38","35-39","35-39","35 - 39","No Ebrio","Mayor","Camión","Isuzu","Blanco","2012","2010-2019","Colision","2020"
2020,2,"17","12:00 a 17:59","Tarde","Enero","Jueves","Guatemala","San José Pinula","Ignorada","Hombre","21","20-24","20-24","20 - 24","No Ebrio","Mayor","Motocicleta","Suzuki","Rojo","2006","2000-2009","Colision","2020"
2020,2,"11","06:00 a 11:59","Mañana","Enero","Jueves","Zacapa","Río Hondo","Ignorada","Hombre","41","40-44","40-44","40 - 44","No Ebrio","Mayor","Camioneta","Toyota","Negro","2013","2010-2019","Colision","2020"
2020,2,"11","06:00 a 11:59","Mañana","Enero","Jueves","Zacapa","Río Hondo","Ignorada","Hombre","63","60-64","60 o más","60 - 64","No Ebrio","Mayor","Pick up","Nissan","Rojo","1989","1980-1989","Colision","2020"
2020,2,"20","18:00 a 23:59","Noche","Enero","Jueves","Retalhuleu","El Asintal","Ignorada","Hombre","44","40-44","40-44","40 - 44","No Ebrio","Mayor","Pick up","Ignorado","Rojo","Ignorado","Ignorado","Colision","2020"
2020,2,"20","18:00 a 23:59","Noche","Enero","Jueves","Retalhuleu","El Asintal","Ignorada","Hombre","69","65-69","60 o más","65 - 69","No Ebrio","Mayor","Camioneta","Kia","Azul","Ignorado","Ignorado","Colision","2020"
2020,2,"13","12:00 a 17:59","Tarde","Enero","Jueves","San Marcos","Esquipulas Palo Gordo","Ignorada","Hombre","35","35-39","35-39","35 - 39","Ebrio","Mayor","Camioneta","Isuzu","Gris","1999","1990-1999","Colision","2020"
2020,2,"19","18:00 a 23:59","Noche","Enero","Jueves","Sacatepéquez","Antigua Guatemala","Ignorada","Hombre","65","65-69","60 o más","65 - 69","No Ebrio","Mayor","Camioneta","Mitsubishi","Gris","2017","2010-2019","Encuneto","2020"
2020,3,"15","12:00 a 17:59","Tarde","Enero","Viernes","Guatemala","Guatemala ","1","Hombre","58","55-59","55-59","55 - 59","Ignorado","Mayor","Motocicleta","Bajaj","Morado","2020","2020-2029","Colision","2020"
2020,3,"15","12:00 a 17:59","Tarde","Enero","Viernes","Guatemala","Guatemala ","1","Hombre","17","15-19","15-19","15 - 19","Ignorado","Menor","Motocicleta","Bajaj","Morado","2005","2000-2009","Colision","2020"
2020,3,"21","18:00 a 23:59","Noche","Enero","Viernes","Guatemala","Guatemala ","6","Hombre","29","25-29","25-29","25 - 29","Ignorado","Mayor","Automóvil","Nissan","Blanco","2013","2010-2019","Colision","2020"
2020,3,"21","18:00 a 23:59","Noche","Enero","Viernes","Guatemala","Guatemala ","6","Hombre","21","20-24","20-24","20 - 24","Ignorado","Mayor","Motocicleta","Yamaha","Rojo","Ignorado","Ignorado","Colision","2020"
2020,3,"13","12:00 a 17:59","Tarde","Enero","Viernes","Guatemala","Guatemala ","6","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Microbús","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2020"
2020,3,"13","12:00 a 17:59","Tarde","Enero","Viernes","Guatemala","Guatemala ","6","Hombre","38","35-39","35-39","35 - 39","Ignorado","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2020"
2020,3,"2","00:00 a 05:59","Mañana","Enero","Viernes","Guatemala","Mixco","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Automóvil","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2020"
2020,3,"2","00:00 a 05:59","Mañana","Enero","Viernes","Guatemala","Mixco","Ignorada","Hombre","30","30-34","30-34","30 - 34","Ignorado","Mayor","Motocicleta","Asia Hero","Negro","2018","2010-2019","Colision","2020"
2020,3,"20","18:00 a 23:59","Noche","Enero","Viernes","Guatemala","Mixco","Ignorada","Hombre","35","35-39","35-39","35 - 39","Ignorado","Mayor","Bus urbano","Internacional","Blanco","1992","1990-1999","Colision","2020"
2020,3,"20","18:00 a 23:59","Noche","Enero","Viernes","Guatemala","Mixco","Ignorada","Hombre","50","50-54","50-54","50 - 54","Ignorado","Mayor","Camioneta","Mazda","Blanco","1988","1980-1989","Colision","2020"
2020,3,"20","18:00 a 23:59","Noche","Enero","Viernes","Guatemala","Mixco","Ignorada","Hombre","31","30-34","30-34","30 - 34","Ignorado","Mayor","Motocicleta","Bajaj","Ignorado","Ignorado","Ignorado","Colision","2020"
2020,3,"23","18:00 a 23:59","Noche","Enero","Viernes","Guatemala","Guatemala ","19","Hombre","40","40-44","40-44","40 - 44","Ignorado","Mayor","Motocicleta","Bajaj","Negro","Ignorado","Ignorado","Derrape","2020"
2020,3,"17","12:00 a 17:59","Tarde","Enero","Viernes","Baja Verapaz","Salamá","Ignorada","Hombre","58","55-59","55-59","55 - 59","Ignorado","Mayor","Pick up","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2020"
2020,3,"17","12:00 a 17:59","Tarde","Enero","Viernes","Baja Verapaz","Salamá","Ignorada","Hombre","21","20-24","20-24","20 - 24","Ignorado","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2020"
2020,4,"15","12:00 a 17:59","Tarde","Enero","Sabado","Retalhuleu","San Sebastián","Ignorada","Hombre","41","40-44","40-44","40 - 44","No Ebrio","Mayor","Motocicleta","Italika","Rojo","2019","2010-2019","Colision","2020"
2020,4,"18","18:00 a 23:59","Noche","Enero","Sabado","Guatemala","Guatemala ","1","Hombre","23","20-24","20-24","20 - 24","Ignorado","Mayor","Motocicleta","United Motors (UM)","Ignorado","Ignorado","Ignorado","Colision","2020"
2020,4,"18","18:00 a 23:59","Noche","Enero","Sabado","Guatemala","Guatemala ","1","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Automóvil","Ignorado","Negro","Ignorado","Ignorado","Colision","2020"
2020,4,"23","18:00 a 23:59","Noche","Enero","Sabado","Guatemala","Guatemala ","5","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","No Ebrio","Mayor","Motocicleta","Bajaj","Negro","2019","2010-2019","Colision","2020"
2020,4,"14","12:00 a 17:59","Tarde","Enero","Sabado","Guatemala","Petapa ","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Motocicleta","Suzuki","Rojo","Ignorado","Ignorado","Colision","2020"
2020,4,"14","12:00 a 17:59","Tarde","Enero","Sabado","Guatemala","Petapa ","Ignorada","Hombre","35","35-39","35-39","35 - 39","No Ebrio","Mayor","Pick up","Isuzu","Azul","Ignorado","Ignorado","Colision","2020"
2020,4,"5","00:00 a 05:59","Mañana","Enero","Sabado","Suchitepéquez","Mazatenango","Ignorada","Hombre","34","30-34","30-34","30 - 34","No Ebrio","Mayor","Motocicleta","Bajaj","Rojo","Ignorado","Ignorado","Colision","2020"
2020,4,"15","12:00 a 17:59","Tarde","Enero","Sabado","Retalhuleu","San Sebastián","Ignorada","Hombre","22","20-24","20-24","20 - 24","No Ebrio","Mayor","Motocicleta","Asia Hero","Negro","2007","2000-2009","Colision","2020"
2020,4,"16","12:00 a 17:59","Tarde","Enero","Sabado","Huehuetenango","Huehuetenango","Ignorada","Hombre","15","15-19","15-19","15 - 19","Ignorado","Menor","Motocicleta","Movesa","Azul","Ignorado","Ignorado","Colision","2020"
2020,4,"16","12:00 a 17:59","Tarde","Enero","Sabado","Huehuetenango","Huehuetenango","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Automóvil","Mazda","Azul","Ignorado","Ignorado","Colision","2020"
2020,4,"18","18:00 a 23:59","Noche","Enero","Sabado","Baja Verapaz","Salamá","Ignorada","Hombre","19","15-19","15-19","15 - 19","Ignorado","Mayor","Automóvil","Mazda","Negro","2019","2010-2019","Colision","2020"
2020,4,"18","18:00 a 23:59","Noche","Enero","Sabado","Baja Verapaz","Salamá","Ignorada","Hombre","39","35-39","35-39","35 - 39","Ignorado","Mayor","Motocicleta","Suzuki","Ignorado","Ignorado","Ignorado","Colision","2020"
2020,4,"12","12:00 a 17:59","Tarde","Enero","Sabado","Chimaltenango","Chimaltenango","Ignorada","Hombre","55","55-59","55-59","55 - 59","No Ebrio","Mayor","Pick up","Toyota","Blanco","1980","1980-1989","Colision","2020"
2020,4,"12","12:00 a 17:59","Tarde","Enero","Sabado","Chimaltenango","Chimaltenango","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Bus urbano","Ignorado","Verde","Ignorado","Ignorado","Colision","2020"
2020,5,"8","06:00 a 11:59","Mañana","Enero","Domingo","Guatemala","Guatemala ","7","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Bus urbano","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2020"
2020,5,"8","06:00 a 11:59","Mañana","Enero","Domingo","Guatemala","Guatemala ","7","Hombre","26","25-29","25-29","25 - 29","Ignorado","Mayor","Motocicleta","Italika","Ignorado","Ignorado","Ignorado","Colision","2020"
2020,5,"20","18:00 a 23:59","Noche","Enero","Domingo","Chiquimula","Chiquimula","Ignorada","Hombre","36","35-39","35-39","35 - 39","Ignorado","Mayor","Motocicleta","Bajaj","Negro","Ignorado","Ignorado","Choque","2020"
2020,5,"20","18:00 a 23:59","Noche","Enero","Domingo","Quetzaltenango","Quetzaltenango","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Microbús","Toyota","Blanco","Ignorado","Ignorado","Colision","2020"
2020,5,"20","18:00 a 23:59","Noche","Enero","Domingo","Quetzaltenango","Quetzaltenango","Ignorada","Hombre","38","35-39","35-39","35 - 39","Ignorado","Mayor","Pick up","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2020"
2020,5,"1","00:00 a 05:59","Mañana","Enero","Domingo","El Progreso","Sanarate","Ignorada","Hombre","40","40-44","40-44","40 - 44","No Ebrio","Mayor","Automóvil","Ignorado","Blanco","Ignorado","Ignorado","Colision","2020"
2020,5,"1","00:00 a 05:59","Mañana","Enero","Domingo","El Progreso","Sanarate","Ignorada","Hombre","45","45-49","45-49","45 - 49","No Ebrio","Mayor","Cabezal","Freightliner","Blanco","Ignorado","Ignorado","Colision","2020"
2020,5,"3","00:00 a 05:59","Mañana","Enero","Domingo","Izabal","Puerto Barrios","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Cabezal","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2020"
