"año_ocu",dia_ocu,"hora_ocu","g_hora","g_hora_5","mes_ocu",dia_sem_ocu,"depto_ocu","mupio_ocu","zona_ocu","zona_ciudad","sexo_per","edad_per","g_edad_80ymás","g_edad_60ymás","edad_quinquenales","estado_con","mayor_menor","tipo_veh","marca_veh","color_veh","modelo_veh","g_modelo_veh","causa_acc","year"
2021,1,"7","06:00 a 11:59","Mañana","Enero","Viernes","Guatemala","Guatemala ","8","8","Hombre","23","20-24","20-24","20 - 24","Ignorado","Mayor","Motocicleta","Suzuki","Gris","2020","2020-2029","Derrape","2021"
2021,1,"9","06:00 a 11:59","Mañana","Enero","Viernes","Guatemala","Guatemala ","18","18","Hombre","34","30-34","30-34","30 - 34","No Ebrio","Mayor","Camioneta","Kia","Gris","2006","2000-2009","Colision","2021"
2021,1,"9","06:00 a 11:59","Mañana","Enero","Viernes","Guatemala","Guatemala ","18","18","Hombre","25","25-29","25-29","25 - 29","Ignorado","Mayor","Motocicleta","Genesis","Rojo","Ignorado","Ignorado","Colision","2021"
2021,1,"5","00:00 a 05:59","Mañana","Enero","Viernes","Guatemala","Guatemala ","21","21","Hombre","35","35-39","35-39","35 - 39","Ignorado","Mayor","Motocicleta","Haojue","Negro","Ignorado","Ignorado","Derrape","2021"
2021,1,"2","00:00 a 05:59","Mañana","Enero","Viernes","Guatemala","Villa Nueva","Ignorada","Ignorada","Ignorado","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2021"
2021,1,"2","00:00 a 05:59","Mañana","Enero","Viernes","Guatemala","Villa Nueva","Ignorada","Ignorada","Hombre","20","20-24","20-24","20 - 24","Ignorado","Mayor","Motocicleta","Asia Hero","Negro","Ignorado","Ignorado","Colision","2021"
2021,1,"19","18:00 a 23:59","Noche","Enero","Viernes","Guatemala","Amatitlán","Ignorada","Ignorada","Hombre","24","20-24","20-24","20 - 24","Ignorado","Mayor","Pick up","Nissan","Blanco","2015","2010-2019","Colision","2021"
2021,1,"19","18:00 a 23:59","Noche","Enero","Viernes","Guatemala","Amatitlán","Ignorada","Ignorada","Hombre","40","40-44","40-44","40 - 44","Ignorado","Mayor","Motocicleta","Freedom","Amarillo","2015","2010-2019","Colision","2021"
2021,1,"23","18:00 a 23:59","Noche","Enero","Viernes","Guatemala","Amatitlán","Ignorada","Ignorada","Hombre","22","20-24","20-24","20 - 24","Ignorado","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Derrape","2021"
2021,1,"11","06:00 a 11:59","Mañana","Enero","Viernes","Guatemala","Mixco","4","Ignorada","Hombre","32","30-34","30-34","30 - 34","Ignorado","Mayor","Automóvil","Mitsubishi","Rojo","2017","2010-2019","Choque","2021"
2021,1,"17","12:00 a 17:59","Tarde","Enero","Viernes","Guatemala","Mixco","4","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Derrape","2021"
2021,1,"17","12:00 a 17:59","Tarde","Enero","Viernes","Guatemala","San Juan Sacatepéquez","Ignorada","Ignorada","Hombre","54","50-54","50-54","50 - 54","Ignorado","Mayor","Pick up","Nissan","Celeste","1983","1980-1989","Colision","2021"
2021,1,"17","12:00 a 17:59","Tarde","Enero","Viernes","Guatemala","San Juan Sacatepéquez","Ignorada","Ignorada","Hombre","54","50-54","50-54","50 - 54","Ignorado","Mayor","Motocicleta","Honda","Negro","2003","2000-2009","Colision","2021"
